country,region,income,income_level,life_exp,co2,population
Burundi,Africa,0.762,Level 1,63.4,0.0467,11.2
Central African Republic,Africa,0.933,Level 1,51.5,0.0651,4.67
"Congo, Dem. Rep.",Africa,1.09,Level 1,64.7,0.0243,84.1
Somalia,Africa,1.13,Level 1,57.9,0.0466,15
Niger,Africa,1.2,Level 1,62,0.103,22.4
Mozambique,Africa,1.29,Level 1,57.9,0.281,29.5
Malawi,Africa,1.5,Level 1,64.1,0.0762,18.1
Liberia,Africa,1.54,Level 1,65.7,0.324,4.82
Eritrea,Africa,1.56,Level 1,63.4,0.215,3.45
Chad,Africa,1.58,Level 1,59.9,0.0656,15.5
Madagascar,Africa,1.59,Level 1,65.1,0.163,26.3
Sierra Leone,Africa,1.66,Level 1,61.2,0.141,7.65
North Korea,Asia,1.86,Level 1,72.9,1.18,25.5
Guinea-Bissau,Africa,1.9,Level 1,60.3,0.181,1.87
South Sudan,Africa,2.01,Level 1,63,0.171,11
Afghanistan,Asia,2.03,Level 1,62.7,0.254,37.2
Togo,Africa,2.06,Level 1,64.5,0.434,7.89
Rwanda,Africa,2.09,Level 1,68.3,0.0913,12.3
Ethiopia,Africa,2.1,Level 1,68.4,0.137,109
Burkina Faso,Africa,2.12,Level 1,61.3,0.198,19.8
Uganda,Africa,2.13,Level 1,65.7,0.135,42.7
Gambia,Africa,2.16,Level 1,66.4,0.268,2.28
Mali,Africa,2.28,Level 1,61.2,0.187,19.1
Kiribati,Asia,2.29,Level 1,59.3,0.601,0.116
Guinea,Africa,2.5,Level 1,60.6,0.256,12.4
Tanzania,Africa,2.59,Level 1,66.7,0.222,56.3
Lesotho,Africa,2.62,Level 1,51.4,1.26,2.11
Yemen,Asia,2.66,Level 2,66.1,0.356,28.5
Solomon Islands,Asia,2.7,Level 2,59,0.273,0.653
Comoros,Africa,3.07,Level 2,68.5,0.263,0.832
Vanuatu,Asia,3.09,Level 2,65.3,0.529,0.293
Timor-Leste,Asia,3.09,Level 2,70.5,0.412,1.27
Benin,Africa,3.16,Level 2,64,0.623,11.5
Haiti,Americas,3.17,Level 2,63.5,0.27,11.1
Senegal,Africa,3.31,Level 2,68,0.739,15.9
Tajikistan,Asia,3.42,Level 2,69.2,0.603,9.1
"Micronesia, Fed. Sts.",Asia,3.46,Level 2,64.1,1.34,0.113
Zambia,Africa,3.52,Level 2,62.5,0.302,17.4
Cameroon,Africa,3.71,Level 2,62.6,0.323,25.2
Nepal,Asia,3.77,Level 2,70.8,0.337,28.1
Marshall Islands,Asia,3.82,Level 2,65.3,2.58,0.0584
Syria,Asia,3.89,Level 2,73.2,1.67,16.9
Zimbabwe,Africa,3.92,Level 2,60.6,0.85,14.4
"Congo, Rep.",Africa,3.93,Level 2,65,0.617,5.24
Tuvalu,Asia,3.95,Level 2,67.8,1.01,0.0115
Sao Tome and Principe,Africa,3.99,Level 2,70.7,0.587,0.211
Cambodia,Asia,4.16,Level 2,69.7,0.64,16.2
Papua New Guinea,Asia,4.19,Level 2,64.4,0.911,8.61
Kenya,Africa,4.34,Level 2,66.1,0.36,51.4
Sudan,Africa,4.37,Level 2,70.1,0.504,41.8
Bangladesh,Asia,4.44,Level 2,74.2,0.531,161
Myanmar,Asia,4.47,Level 2,69.1,0.491,53.7
Pakistan,Asia,4.74,Level 2,65.5,1.05,212
Cote d'Ivoire,Africa,4.85,Level 2,63.6,0.335,25.1
Kyrgyz Republic,Asia,5.13,Level 2,73.3,1.6,6.3
Nigeria,Africa,5.16,Level 2,63.8,0.65,196
Mauritania,Africa,5.19,Level 2,70.5,0.605,4.4
Djibouti,Africa,5.21,Level 2,66.7,0.672,0.959
Ghana,Africa,5.32,Level 2,65.8,0.615,29.8
Honduras,Americas,5.68,Level 2,71.9,1.04,9.59
Nicaragua,Americas,5.73,Level 2,75.2,0.862,6.47
Palestine,Asia,6.32,Level 2,74.7,0.661,4.86
Samoa,Asia,6.39,Level 2,70.4,1.32,0.196
Tonga,Asia,6.41,Level 2,72.9,1.31,0.103
India,Asia,6.52,Level 2,70.5,1.96,1350
Cape Verde,Africa,6.86,Level 2,73.5,1.16,0.544
Angola,Africa,6.93,Level 2,64.6,1.12,30.8
Uzbekistan,Asia,7.08,Level 2,68.1,2.81,32.5
Belize,Americas,7.26,Level 2,74.4,1.5,0.383
Morocco,Africa,7.45,Level 2,73.1,1.84,36
Lao,Asia,7.59,Level 2,68.6,2.74,7.06
Vietnam,Asia,7.59,Level 2,74.3,2.16,95.5
Guatemala,Americas,8.46,Level 3,72.4,1.07,17.2
Eswatini,Africa,8.52,Level 3,57.8,1.06,1.14
Philippines,Asia,8.52,Level 3,71.6,1.27,107
